spec_version,gap_days,event_min_days,dose_metric,pheno_type,outcome,model_form,boundary_excluded,latitude,landscape_type,dose,reference_dose,estimate,std_error,conf_low,conf_high,p_value
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,8.0,1.0,4.95333225330922,2.176441829641643,0.6875846527651399,9.219079853853302,0.0228528676498731
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,8.25,1.0,5.22799681723296,2.216570690868288,0.88359809394405,9.57239554052187,0.0183441685985958
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,8.5,1.0,5.512951890692609,2.2531890126595973,1.096782575518434,9.929121205866783,0.0144157590243005
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,8.75,1.0,5.808552318844605,2.286279588167194,1.3275266674478372,10.289577970241371,0.0110658235232313
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,9.0,1.0,6.115152946845338,2.315843957341121,1.5761821966420273,10.65412369704865,0.008276617919753
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,9.25,1.0,6.433108619851232,2.34190506638327,1.8430590345281388,11.023158205174326,0.0060151325237098
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,9.5,1.0,6.7627741830186885,2.3645103210573786,2.1284191126729866,11.39712925336439,0.0042348585795504
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,9.75,1.0,7.104504481504115,2.3837350855984267,2.432469565046696,11.776539397961535,0.0028786415504323
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,10.0,1.0,7.458654360463942,2.399686680569216,2.755354892367806,12.16195382856008,0.0018824438416553
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,10.25,1.0,7.825578665054572,2.412508931521271,3.097148046891673,12.554009283217471,0.0011796675267657
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,10.5,1.0,8.2056322404324,2.4223873138203653,3.45784034873776,12.953424132127042,0.0007055445714067
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,10.75,1.0,8.599169931753863,2.429554724809385,3.837330172658347,13.36100969084938,0.0004010352161981
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,11.0,1.0,9.006546584175346,2.4342978889830924,4.235410394126602,13.77768277422409,0.0002157236052899
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,11.25,1.0,9.428117042853284,2.436964360354718,4.651754664950346,14.204479420756222,0.0001093742723607
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,11.5,1.0,9.86423615294407,2.43797002300854,5.085902712459045,14.642569593429094,5.208112669623659e-05
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,11.75,1.0,10.31525875960414,2.4378068996458944,5.537245035034939,15.093272484173344,2.3227401395167948e-05
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,12.0,1.0,10.781539707989872,2.437050952844455,6.005007611925718,15.558071804054023,9.688517866666084e-06
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,12.25,1.0,11.263433843257689,2.436369401295286,6.488237563683512,16.03863012283186,3.7815628303681302e-06
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,12.5,1.0,11.76129601056401,2.436526875837242,6.98579108655912,16.5368009345689,1.3855351228070956e-06
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,12.75,1.0,12.27548105506525,2.4383895208646678,7.496325413890623,17.054636696239875,4.797041696344321e-07
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,13.0,1.0,12.806343821917812,2.4429259357375037,8.018296970973495,17.59439067286213,1.5866004662452962e-07
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,13.25,1.0,13.354239156278105,2.451203700617832,8.549968184295851,18.158510128260357,5.092985148502651e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,13.5,1.0,13.919521903302536,2.464380217628249,9.089425432538189,18.749618374066884,1.6205632609647422e-08
